STATION	GEAR_MODEL	DATE_	Year	Month	Day	D/N	HEURE	Region	LONGITUDE	LATITUDE	PROFONDEUR_Min	PROFONDEUR_Max	PROFONDEUR_FOND_corr	Z_habitat	TAXON	STADE	Ind/m3	ind/m2
1	BIONESS 1.0m	87-06-13	1987	6	13	N	204	WSS	-62.99	43.7	80	96	251.4	Basins_100-325m	Cfin	CVI	2	32
1	BIONESS 1.0m	87-06-13	1987	6	13	N	204	WSS	-62.99	43.7	80	96	251.4	Basins_100-325m	Cglac	CIV	8.9	142
1	BIONESS 1.0m	87-06-13	1987	6	13	N	204	WSS	-62.99	43.7	80	96	251.4	Basins_100-325m	Chyp	CIII	1.5	24
1	BIONESS 1.0m	87-06-13	1987	6	13	N	204	WSS	-62.99	43.7	80	96	251.4	Basins_100-325m	Chyp	CIV	15.3	245
1	BIONESS 1.0m	87-06-13	1987	6	13	N	204	WSS	-62.99	43.7	96	112	251.4	Basins_100-325m	Cfin	CIII	1.9	31
1	BIONESS 1.0m	87-06-13	1987	6	13	N	204	WSS	-62.99	43.7	96	112	251.4	Basins_100-325m	Cfin	CIV	6.3	101
1	BIONESS 1.0m	87-06-13	1987	6	13	N	204	WSS	-62.99	43.7	96	112	251.4	Basins_100-325m	Cfin	CV	8.8	140
1	BIONESS 1.0m	87-06-13	1987	6	13	N	204	WSS	-62.99	43.7	96	112	251.4	Basins_100-325m	Cfin	CVI	1.6	26
1	BIONESS 1.0m	87-06-13	1987	6	13	N	204	WSS	-62.99	43.7	96	112	251.4	Basins_100-325m	Cfin	CVI	1.6	26
1	BIONESS 1.0m	87-06-13	1987	6	13	N	204	WSS	-62.99	43.7	96	112	251.4	Basins_100-325m	Cglac	CIV	1.1	18
1	BIONESS 1.0m	87-06-13	1987	6	13	N	204	WSS	-62.99	43.7	96	112	251.4	Basins_100-325m	Cglac	CV	0.8	13
1	BIONESS 1.0m	87-06-13	1987	6	13	N	204	WSS	-62.99	43.7	96	112	251.4	Basins_100-325m	Chyp	CIII	0.8	13
1	BIONESS 1.0m	87-06-13	1987	6	13	N	204	WSS	-62.99	43.7	96	112	251.4	Basins_100-325m	Chyp	CIV	6	96
1	BIONESS 1.0m	87-06-13	1987	6	13	N	204	WSS	-62.99	43.7	96	112	251.4	Basins_100-325m	Chyp	CV	0.3	4
1	BIONESS 1.0m	87-06-13	1987	6	13	N	204	WSS	-62.99	43.7	112	128	251.4	Basins_100-325m	Cfin	CIII	0.3	5
1	BIONESS 1.0m	87-06-13	1987	6	13	N	204	WSS	-62.99	43.7	112	128	251.4	Basins_100-325m	Cfin	CIV	0.8	13
1	BIONESS 1.0m	87-06-13	1987	6	13	N	204	WSS	-62.99	43.7	112	128	251.4	Basins_100-325m	Cfin	CV	0.6	10
1	BIONESS 1.0m	87-06-13	1987	6	13	N	204	WSS	-62.99	43.7	112	128	251.4	Basins_100-325m	Cfin	CVI	0.1	2
1	BIONESS 1.0m	87-06-13	1987	6	13	N	204	WSS	-62.99	43.7	112	128	251.4	Basins_100-325m	Cfin	CVI	0.2	3
1	BIONESS 1.0m	87-06-13	1987	6	13	N	204	WSS	-62.99	43.7	112	128	251.4	Basins_100-325m	Cglac	CIII	0	0
1	BIONESS 1.0m	87-06-13	1987	6	13	N	204	WSS	-62.99	43.7	112	128	251.4	Basins_100-325m	Cglac	CIV	0.1	1
1	BIONESS 1.0m	87-06-13	1987	6	13	N	204	WSS	-62.99	43.7	112	128	251.4	Basins_100-325m	Cglac	CV	0	1
1	BIONESS 1.0m	87-06-13	1987	6	13	N	204	WSS	-62.99	43.7	112	128	251.4	Basins_100-325m	Chyp	CIII	0.1	2
1	BIONESS 1.0m	87-06-13	1987	6	13	N	204	WSS	-62.99	43.7	112	128	251.4	Basins_100-325m	Chyp	CIV	0.4	6
1	BIONESS 1.0m	87-06-13	1987	6	13	N	204	WSS	-62.99	43.7	128	144	251.4	Basins_100-325m	Cfin	CII	0.3	5
1	BIONESS 1.0m	87-06-13	1987	6	13	N	204	WSS	-62.99	43.7	128	144	251.4	Basins_100-325m	Cfin	CIII	1.8	29
1	BIONESS 1.0m	87-06-13	1987	6	13	N	204	WSS	-62.99	43.7	128	144	251.4	Basins_100-325m	Cfin	CIV	7.5	120
1	BIONESS 1.0m	87-06-13	1987	6	13	N	204	WSS	-62.99	43.7	128	144	251.4	Basins_100-325m	Cfin	CV	6.6	105
1	BIONESS 1.0m	87-06-13	1987	6	13	N	204	WSS	-62.99	43.7	128	144	251.4	Basins_100-325m	Cfin	CVI	0.6	10
1	BIONESS 1.0m	87-06-13	1987	6	13	N	204	WSS	-62.99	43.7	128	144	251.4	Basins_100-325m	Cfin	CVI	1.8	29
1	BIONESS 1.0m	87-06-13	1987	6	13	N	204	WSS	-62.99	43.7	128	144	251.4	Basins_100-325m	Cglac	CIV	0.9	14
1	BIONESS 1.0m	87-06-13	1987	6	13	N	204	WSS	-62.99	43.7	128	144	251.4	Basins_100-325m	Cglac	CV	0.3	5
1	BIONESS 1.0m	87-06-13	1987	6	13	N	204	WSS	-62.99	43.7	128	144	251.4	Basins_100-325m	Chyp	CIII	0.9	14
1	BIONESS 1.0m	87-06-13	1987	6	13	N	204	WSS	-62.99	43.7	128	144	251.4	Basins_100-325m	Chyp	CIV	3.9	62
1	BIONESS 1.0m	87-06-13	1987	6	13	N	204	WSS	-62.99	43.7	128	144	251.4	Basins_100-325m	Chyp	CV	0.3	5
1	BIONESS 1.0m	87-06-13	1987	6	13	N	204	WSS	-62.99	43.7	144	160	251.4	Basins_100-325m	Cfin	CII	0.3	6
1	BIONESS 1.0m	87-06-13	1987	6	13	N	204	WSS	-62.99	43.7	144	160	251.4	Basins_100-325m	Cfin	CIII	1.7	28
1	BIONESS 1.0m	87-06-13	1987	6	13	N	204	WSS	-62.99	43.7	144	160	251.4	Basins_100-325m	Cfin	CIV	13.6	218
1	BIONESS 1.0m	87-06-13	1987	6	13	N	204	WSS	-62.99	43.7	144	160	251.4	Basins_100-325m	Cfin	CV	9.4	151
1	BIONESS 1.0m	87-06-13	1987	6	13	N	204	WSS	-62.99	43.7	144	160	251.4	Basins_100-325m	Cfin	CVI	1.4	22
1	BIONESS 1.0m	87-06-13	1987	6	13	N	204	WSS	-62.99	43.7	144	160	251.4	Basins_100-325m	Cfin	CVI	2.1	34
1	BIONESS 1.0m	87-06-13	1987	6	13	N	204	WSS	-62.99	43.7	144	160	251.4	Basins_100-325m	Cglac	CIII	0.3	6
1	BIONESS 1.0m	87-06-13	1987	6	13	N	204	WSS	-62.99	43.7	144	160	251.4	Basins_100-325m	Cglac	CIV	1.7	28
1	BIONESS 1.0m	87-06-13	1987	6	13	N	204	WSS	-62.99	43.7	144	160	251.4	Basins_100-325m	Cglac	CV	0.3	6
1	BIONESS 1.0m	87-06-13	1987	6	13	N	204	WSS	-62.99	43.7	144	160	251.4	Basins_100-325m	Chyp	CIII	1.4	22
1	BIONESS 1.0m	87-06-13	1987	6	13	N	204	WSS	-62.99	43.7	144	160	251.4	Basins_100-325m	Chyp	CIV	3.5	56
2	BIONESS 1.0m	85-09-17	1985	9	17	N	2230	ESS	-63.16	44.2	0	10	170.6	Basins_100-325m	Cfin	CI	7.5	75
2	BIONESS 1.0m	85-09-17	1985	9	17	N	2230	ESS	-63.16	44.2	0	10	170.6	Basins_100-325m	Cfin	CIII	18.8	188
2	BIONESS 1.0m	85-09-17	1985	9	17	N	2230	ESS	-63.16	44.2	0	10	170.6	Basins_100-325m	Cfin	CIV	30.1	301
2	BIONESS 1.0m	85-09-17	1985	9	17	N	2230	ESS	-63.16	44.2	0	10	170.6	Basins_100-325m	Cfin	CV	22.6	226
2	BIONESS 1.0m	85-09-17	1985	9	17	N	2230	ESS	-63.16	44.2	10	20	170.6	Basins_100-325m	Cfin	CI	3.7	37
2	BIONESS 1.0m	85-09-17	1985	9	17	N	2230	ESS	-63.16	44.2	10	20	170.6	Basins_100-325m	Cfin	CII	5.6	56
2	BIONESS 1.0m	85-09-17	1985	9	17	N	2230	ESS	-63.16	44.2	10	20	170.6	Basins_100-325m	Cfin	CIII	13	130
2	BIONESS 1.0m	85-09-17	1985	9	17	N	2230	ESS	-63.16	44.2	10	20	170.6	Basins_100-325m	Cfin	CIV	22.2	222
2	BIONESS 1.0m	85-09-17	1985	9	17	N	2230	ESS	-63.16	44.2	10	20	170.6	Basins_100-325m	Cfin	CV	14.8	148
2	BIONESS 1.0m	85-09-17	1985	9	17	N	2230	ESS	-63.16	44.2	20	30	170.6	Basins_100-325m	Cfin	CIII	3	30
2	BIONESS 1.0m	85-09-17	1985	9	17	N	2230	ESS	-63.16	44.2	20	30	170.6	Basins_100-325m	Cfin	CIV	4.5	45
2	BIONESS 1.0m	85-09-17	1985	9	17	N	2230	ESS	-63.16	44.2	20	30	170.6	Basins_100-325m	Cfin	CV	15.1	151
2	BIONESS 1.0m	85-09-17	1985	9	17	N	2230	ESS	-63.16	44.2	30	40	170.6	Basins_100-325m	Cfin	CI	1.7	17
2	BIONESS 1.0m	85-09-17	1985	9	17	N	2230	ESS	-63.16	44.2	30	40	170.6	Basins_100-325m	Cfin	CIII	0.6	6
2	BIONESS 1.0m	85-09-17	1985	9	17	N	2230	ESS	-63.16	44.2	30	40	170.6	Basins_100-325m	Cfin	CIV	1.2	12
2	BIONESS 1.0m	85-09-17	1985	9	17	N	2230	ESS	-63.16	44.2	30	40	170.6	Basins_100-325m	Cfin	CV	54.3	543
2	BIONESS 1.0m	85-09-17	1985	9	17	N	2230	ESS	-63.16	44.2	30	40	170.6	Basins_100-325m	Cglac	CV	0.6	6
2	BIONESS 1.0m	85-09-17	1985	9	17	N	2230	ESS	-63.16	44.2	40	50	170.6	Basins_100-325m	Cfin	CI	0.3	3
2	BIONESS 1.0m	85-09-17	1985	9	17	N	2230	ESS	-63.16	44.2	40	50	170.6	Basins_100-325m	Cfin	CIV	0.9	9
2	BIONESS 1.0m	85-09-17	1985	9	17	N	2230	ESS	-63.16	44.2	40	50	170.6	Basins_100-325m	Cfin	CV	30.2	302
2	BIONESS 1.0m	85-09-17	1985	9	17	N	2230	ESS	-63.16	44.2	40	50	170.6	Basins_100-325m	Cglac	CIV	0.9	9
2	BIONESS 1.0m	85-09-17	1985	9	17	N	2230	ESS	-63.16	44.2	40	50	170.6	Basins_100-325m	Cglac	CV	3.3	33
2	BIONESS 1.0m	85-09-17	1985	9	17	N	2230	ESS	-63.16	44.2	50	60	170.6	Basins_100-325m	Cfin	CIII	0.4	4
2	BIONESS 1.0m	85-09-17	1985	9	17	N	2230	ESS	-63.16	44.2	50	60	170.6	Basins_100-325m	Cfin	CIV	0.9	9
2	BIONESS 1.0m	85-09-17	1985	9	17	N	2230	ESS	-63.16	44.2	50	60	170.6	Basins_100-325m	Cfin	CV	29.4	294
2	BIONESS 1.0m	85-09-17	1985	9	17	N	2230	ESS	-63.16	44.2	50	60	170.6	Basins_100-325m	Cglac	CIV	1.8	18
2	BIONESS 1.0m	85-09-17	1985	9	17	N	2230	ESS	-63.16	44.2	50	60	170.6	Basins_100-325m	Cglac	CV	1.3	13
2	BIONESS 1.0m	85-09-17	1985	9	17	N	2230	ESS	-63.16	44.2	60	80	170.6	Basins_100-325m	Cfin	CIII	0.3	5
2	BIONESS 1.0m	85-09-17	1985	9	17	N	2230	ESS	-63.16	44.2	60	80	170.6	Basins_100-325m	Cfin	CIV	3.8	76
2	BIONESS 1.0m	85-09-17	1985	9	17	N	2230	ESS	-63.16	44.2	60	80	170.6	Basins_100-325m	Cfin	CV	17.9	358
2	BIONESS 1.0m	85-09-17	1985	9	17	N	2230	ESS	-63.16	44.2	60	80	170.6	Basins_100-325m	Cglac	CIV	1.3	25
2	BIONESS 1.0m	85-09-17	1985	9	17	N	2230	ESS	-63.16	44.2	60	80	170.6	Basins_100-325m	Cglac	CV	1	20
2	BIONESS 1.0m	85-09-17	1985	9	17	N	2230	ESS	-63.16	44.2	60	80	170.6	Basins_100-325m	Chyp	CIII	0.5	10
2	BIONESS 1.0m	85-09-17	1985	9	17	N	2230	ESS	-63.16	44.2	60	80	170.6	Basins_100-325m	Chyp	CIV	0.8	15
2	BIONESS 1.0m	85-09-17	1985	9	17	N	2230	ESS	-63.16	44.2	60	80	170.6	Basins_100-325m	Chyp	CV	0.3	5
2	BIONESS 1.0m	85-09-17	1985	9	17	N	2230	ESS	-63.16	44.2	80	100	170.6	Basins_100-325m	Cfin	CII	0.3	6
2	BIONESS 1.0m	85-09-17	1985	9	17	N	2230	ESS	-63.16	44.2	80	100	170.6	Basins_100-325m	Cfin	CIII	0.3	6
2	BIONESS 1.0m	85-09-17	1985	9	17	N	2230	ESS	-63.16	44.2	80	100	170.6	Basins_100-325m	Cfin	CIV	1.9	38
2	BIONESS 1.0m	85-09-17	1985	9	17	N	2230	ESS	-63.16	44.2	80	100	170.6	Basins_100-325m	Cfin	CV	15.9	319
2	BIONESS 1.0m	85-09-17	1985	9	17	N	2230	ESS	-63.16	44.2	80	100	170.6	Basins_100-325m	Cglac	CIV	2.5	50
2	BIONESS 1.0m	85-09-17	1985	9	17	N	2230	ESS	-63.16	44.2	80	100	170.6	Basins_100-325m	Cglac	CV	0.6	13
2	BIONESS 1.0m	85-09-17	1985	9	17	N	2230	ESS	-63.16	44.2	80	100	170.6	Basins_100-325m	Chyp	CIV	0.9	19
2	BIONESS 1.0m	85-09-17	1985	9	17	N	2230	ESS	-63.16	44.2	100	120	170.6	Basins_100-325m	Cfin	CIV	1	20
2	BIONESS 1.0m	85-09-17	1985	9	17	N	2230	ESS	-63.16	44.2	100	120	170.6	Basins_100-325m	Cfin	CV	6.2	123
2	BIONESS 1.0m	85-09-17	1985	9	17	N	2230	ESS	-63.16	44.2	100	120	170.6	Basins_100-325m	Cfin	CVI	0.2	4
2	BIONESS 1.0m	85-09-17	1985	9	17	N	2230	ESS	-63.16	44.2	100	120	170.6	Basins_100-325m	Cglac	CIV	1	20
2	BIONESS 1.0m	85-09-17	1985	9	17	N	2230	ESS	-63.16	44.2	100	120	170.6	Basins_100-325m	Cglac	CV	1	20
2	BIONESS 1.0m	85-09-17	1985	9	17	N	2230	ESS	-63.16	44.2	100	120	170.6	Basins_100-325m	Chyp	CIV	0.4	8
2	BIONESS 1.0m	85-09-17	1985	9	17	N	2230	ESS	-63.16	44.2	120	140	170.6	Basins_100-325m	Cfin	CIV	2.9	59
2	BIONESS 1.0m	85-09-17	1985	9	17	N	2230	ESS	-63.16	44.2	120	140	170.6	Basins_100-325m	Cfin	CV	21.6	432
2	BIONESS 1.0m	85-09-17	1985	9	17	N	2230	ESS	-63.16	44.2	120	140	170.6	Basins_100-325m	Cfin	CVI	0.3	5
2	BIONESS 1.0m	85-09-17	1985	9	17	N	2230	ESS	-63.16	44.2	120	140	170.6	Basins_100-325m	Cglac	CIV	1.1	21
2	BIONESS 1.0m	85-09-17	1985	9	17	N	2230	ESS	-63.16	44.2	120	140	170.6	Basins_100-325m	Cglac	CV	0.8	16
2	BIONESS 1.0m	85-09-17	1985	9	17	N	2230	ESS	-63.16	44.2	120	140	170.6	Basins_100-325m	Chyp	CIV	0.8	16
6	BIONESS 1.0m	85-09-19	1985	9	19	N	2015	WSS	-61.99	43.14	0	7	95.3	Shelf_0-100m	Cfin	CI	0.8	5
6	BIONESS 1.0m	85-09-19	1985	9	19	N	2015	WSS	-61.99	43.14	0	7	95.3	Shelf_0-100m	Cfin	CII	2.3	16
6	BIONESS 1.0m	85-09-19	1985	9	19	N	2015	WSS	-61.99	43.14	0	7	95.3	Shelf_0-100m	Cfin	CIII	0.5	3
6	BIONESS 1.0m	85-09-19	1985	9	19	N	2015	WSS	-61.99	43.14	0	7	95.3	Shelf_0-100m	Cfin	CIV	0.2	1
6	BIONESS 1.0m	85-09-19	1985	9	19	N	2015	WSS	-61.99	43.14	0	7	95.3	Shelf_0-100m	Cfin	CV	0.3	2
6	BIONESS 1.0m	85-09-19	1985	9	19	N	2015	WSS	-61.99	43.14	7	14	95.3	Shelf_0-100m	Calanus	all	1.4	9
6	BIONESS 1.0m	85-09-19	1985	9	19	N	2015	WSS	-61.99	43.14	7	14	95.3	Shelf_0-100m	Cfin	CI	0.1	1
6	BIONESS 1.0m	85-09-19	1985	9	19	N	2015	WSS	-61.99	43.14	7	14	95.3	Shelf_0-100m	Cfin	CII	1.1	8
6	BIONESS 1.0m	85-09-19	1985	9	19	N	2015	WSS	-61.99	43.14	7	14	95.3	Shelf_0-100m	Cfin	CIII	0.3	2
6	BIONESS 1.0m	85-09-19	1985	9	19	N	2015	WSS	-61.99	43.14	7	14	95.3	Shelf_0-100m	Cfin	CV	0.2	1
6	BIONESS 1.0m	85-09-19	1985	9	19	N	2015	WSS	-61.99	43.14	14	22	95.3	Shelf_0-100m	Calanus	all	1.3	10
6	BIONESS 1.0m	85-09-19	1985	9	19	N	2015	WSS	-61.99	43.14	14	22	95.3	Shelf_0-100m	Cfin	CI	0.1	1
6	BIONESS 1.0m	85-09-19	1985	9	19	N	2015	WSS	-61.99	43.14	14	22	95.3	Shelf_0-100m	Cfin	CII	0.1	1
6	BIONESS 1.0m	85-09-19	1985	9	19	N	2015	WSS	-61.99	43.14	14	22	95.3	Shelf_0-100m	Cfin	CIII	0.1	1
6	BIONESS 1.0m	85-09-19	1985	9	19	N	2015	WSS	-61.99	43.14	14	22	95.3	Shelf_0-100m	Cfin	CV	0.5	4
6	BIONESS 1.0m	85-09-19	1985	9	19	N	2015	WSS	-61.99	43.14	14	22	95.3	Shelf_0-100m	Cglac	CV	0.1	1
6	BIONESS 1.0m	85-09-19	1985	9	19	N	2015	WSS	-61.99	43.14	22	29	95.3	Shelf_0-100m	Calanus	all	0.7	5
6	BIONESS 1.0m	85-09-19	1985	9	19	N	2015	WSS	-61.99	43.14	22	29	95.3	Shelf_0-100m	Cfin	CII	0.3	2
6	BIONESS 1.0m	85-09-19	1985	9	19	N	2015	WSS	-61.99	43.14	22	29	95.3	Shelf_0-100m	Cfin	CIII	0.3	2
6	BIONESS 1.0m	85-09-19	1985	9	19	N	2015	WSS	-61.99	43.14	22	29	95.3	Shelf_0-100m	Cfin	CV	0.3	2
6	BIONESS 1.0m	85-09-19	1985	9	19	N	2015	WSS	-61.99	43.14	29	36	95.3	Shelf_0-100m	Calanus	all	2.8	19
6	BIONESS 1.0m	85-09-19	1985	9	19	N	2015	WSS	-61.99	43.14	29	36	95.3	Shelf_0-100m	Cfin	CII	1.5	11
6	BIONESS 1.0m	85-09-19	1985	9	19	N	2015	WSS	-61.99	43.14	29	36	95.3	Shelf_0-100m	Cfin	CIII	4	28
6	BIONESS 1.0m	85-09-19	1985	9	19	N	2015	WSS	-61.99	43.14	29	36	95.3	Shelf_0-100m	Cfin	CIV	1.9	13
6	BIONESS 1.0m	85-09-19	1985	9	19	N	2015	WSS	-61.99	43.14	29	36	95.3	Shelf_0-100m	Cfin	CV	2.8	19
6	BIONESS 1.0m	85-09-19	1985	9	19	N	2015	WSS	-61.99	43.14	36	41	95.3	Shelf_0-100m	Calanus	all	9.6	48
6	BIONESS 1.0m	85-09-19	1985	9	19	N	2015	WSS	-61.99	43.14	36	41	95.3	Shelf_0-100m	Cfin	CII	2.3	12
6	BIONESS 1.0m	85-09-19	1985	9	19	N	2015	WSS	-61.99	43.14	36	41	95.3	Shelf_0-100m	Cfin	CIII	5.2	26
6	BIONESS 1.0m	85-09-19	1985	9	19	N	2015	WSS	-61.99	43.14	36	41	95.3	Shelf_0-100m	Cfin	CIV	1.2	6
6	BIONESS 1.0m	85-09-19	1985	9	19	N	2015	WSS	-61.99	43.14	36	41	95.3	Shelf_0-100m	Cfin	CV	1.1	5
6	BIONESS 1.0m	85-09-19	1985	9	19	N	2015	WSS	-61.99	43.14	36	41	95.3	Shelf_0-100m	Cglac	CV	0.1	1
6	BIONESS 1.0m	85-09-19	1985	9	19	N	2015	WSS	-61.99	43.14	41	49	95.3	Shelf_0-100m	Calanus	all	7.4	59
6	BIONESS 1.0m	85-09-19	1985	9	19	N	2015	WSS	-61.99	43.14	41	49	95.3	Shelf_0-100m	Cfin	CII	11.7	94
6	BIONESS 1.0m	85-09-19	1985	9	19	N	2015	WSS	-61.99	43.14	41	49	95.3	Shelf_0-100m	Cfin	CIII	13.1	105
6	BIONESS 1.0m	85-09-19	1985	9	19	N	2015	WSS	-61.99	43.14	41	49	95.3	Shelf_0-100m	Cfin	CIV	2.4	19
6	BIONESS 1.0m	85-09-19	1985	9	19	N	2015	WSS	-61.99	43.14	41	49	95.3	Shelf_0-100m	Cfin	CV	2.4	19
